RE-1_R2_CH20_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.30534, eta max = -1.41788, phi min = -3.05175, phi max = -2.88237 OK
RE-1_R2_CH20_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.42037, eta max = -1.64965, phi min = -3.05179, phi max = -2.88233 OK
RE+1_R2_CH20_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.19862, eta max = 1.30322, phi min = -2.88238, phi max = -3.05173 OK
RE+1_R2_CH20_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.30534, eta max = 1.41788, phi min = -2.88237, phi max = -3.05175 OK
RE+1_R2_CH20_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.42037, eta max = 1.64965, phi min = -2.88233, phi max = -3.05179 OK
RE-1_R3_CH20_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.916114, eta max = -0.96088, phi min = -2.88251, phi max = -3.05161 OK
RE-1_R3_CH20_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.962043, eta max = -1.05864, phi min = -2.88251, phi max = -3.05161 OK
RE-1_R3_CH20_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06004, eta max = -1.1439, phi min = -2.88251, phi max = -3.05161 OK
RE+1_R3_CH20_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.916114, eta max = 0.96088, phi min = -3.05161, phi max = -2.88251 OK
RE+1_R3_CH20_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.962043, eta max = 1.05864, phi min = -3.05161, phi max = -2.88251 OK
RE+1_R3_CH20_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06004, eta max = 1.1439, phi min = -3.05161, phi max = -2.88251 OK
RE-1_R2_CH26_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.19862, eta max = -1.30322, phi min = -2.00454, phi max = -1.83519 OK
RE-1_R2_CH26_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.30534, eta max = -1.41788, phi min = -2.00456, phi max = -1.83517 OK
RE-1_R2_CH26_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.42037, eta max = -1.64965, phi min = -2.00459, phi max = -1.83513 OK
RE+1_R2_CH26_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.19862, eta max = 1.30322, phi min = -1.83519, phi max = -2.00454 OK
RE+1_R2_CH26_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.30534, eta max = 1.41788, phi min = -1.83517, phi max = -2.00456 OK
RE+1_R2_CH26_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.42037, eta max = 1.64965, phi min = -1.83513, phi max = -2.00459 OK
RE-1_R3_CH26_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.916114, eta max = -0.960881, phi min = -1.83531, phi max = -2.00441 OK
RE-1_R3_CH26_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.962043, eta max = -1.05864, phi min = -1.83531, phi max = -2.00441 OK
RE-1_R3_CH26_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06004, eta max = -1.1439, phi min = -1.83531, phi max = -2.00441 OK
RE+1_R3_CH26_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.916114, eta max = 0.960881, phi min = -2.00441, phi max = -1.83531 OK
RE+1_R3_CH26_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.962043, eta max = 1.05864, phi min = -2.00441, phi max = -1.83531 OK
RE+1_R3_CH26_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06004, eta max = 1.1439, phi min = -2.00441, phi max = -1.83531 OK
RE-1_R2_CH32_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.19862, eta max = -1.30322, phi min = -0.95734, phi max = -0.787989 OK
RE-1_R2_CH32_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.30534, eta max = -1.41788, phi min = -0.957359, phi max = -0.787971 OK
RE-1_R2_CH32_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.42037, eta max = -1.64965, phi min = -0.957393, phi max = -0.787936 OK
RE+1_R2_CH32_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.19862, eta max = 1.30322, phi min = -0.787989, phi max = -0.95734 OK
RE+1_R2_CH32_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.30534, eta max = 1.41788, phi min = -0.787971, phi max = -0.957359 OK
RE+1_R2_CH32_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.42037, eta max = 1.64965, phi min = -0.787936, phi max = -0.957393 OK
RE-1_R3_CH32_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.916114, eta max = -0.96088, phi min = -0.788113, phi max = -0.957216 OK
RE-1_R3_CH32_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.962043, eta max = -1.05864, phi min = -0.788114, phi max = -0.957216 OK
RE-1_R3_CH32_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06004, eta max = -1.1439, phi min = -0.788114, phi max = -0.957215 OK
RE+1_R3_CH32_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.916114, eta max = 0.96088, phi min = -0.957216, phi max = -0.788113 OK
RE+1_R3_CH32_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.962043, eta max = 1.05864, phi min = -0.957216, phi max = -0.788114 OK
RE+1_R3_CH32_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06004, eta max = 1.1439, phi min = -0.957215, phi max = -0.788114 OK
RE+1_R1_CH03_A ,  distance to beam line  = 223.988, distance to beam line max = 242.038, eta min = 1.58593, eta max = 1.73611, phi min = 0.264519, phi max = 0.433613 OK
RE+1_R1_CH03_B ,  distance to beam line  = 192.96, distance to beam line max = 204.96, eta min = 1.74069, eta max = 1.85856, phi min = 0.26452, phi max = 0.433612 OK
RE+1_R1_CH03_C ,  distance to beam line  = 170.069, distance to beam line max = 180.069, eta min = 1.86383, eta max = 1.97665, phi min = 0.264517, phi max = 0.433615 OK
RE+1_R1_CH03_D ,  distance to beam line  = 147.971, distance to beam line max = 158.971, eta min = 1.98269, eta max = 2.12678, phi min = 0.264519, phi max = 0.433613 OK
RE-1_R2_CH03_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.23524, eta max = -1.34109, phi min = 0.433741, phi max = 0.264391 OK
